,precision,recall,f1-score,support
Montenegro,0.625,0.6666666666666666,0.6451612903225806,60.0
Netherlands,0.5882352941176471,0.5,0.5405405405405406,60.0
NewZealand,0.6666666666666666,0.6666666666666666,0.6666666666666666,60.0
Nigeria,0.6376811594202898,0.7333333333333333,0.6821705426356589,60.0
NorthMacedonia,0.6530612244897959,0.5333333333333333,0.5871559633027523,60.0
Norway,0.5254237288135594,0.5166666666666667,0.5210084033613446,60.0
Oman,0.7936507936507936,0.8333333333333334,0.8130081300813008,60.0
Panama,0.7692307692307693,0.6666666666666666,0.7142857142857143,60.0
Peru,0.6346153846153846,0.55,0.5892857142857143,60.0
Philippines,0.42857142857142855,0.6,0.5,60.0
Poland,0.42105263157894735,0.26666666666666666,0.32653061224489793,60.0
Portugal,0.4074074074074074,0.55,0.46808510638297873,60.0
Qatar,0.9508196721311475,0.9666666666666667,0.9586776859504132,60.0
Romania,0.5555555555555556,0.4166666666666667,0.47619047619047616,60.0
Russia,0.5471698113207547,0.48333333333333334,0.5132743362831859,60.0
Rwanda,0.8214285714285714,0.7666666666666667,0.7931034482758621,60.0
Senegal,0.7538461538461538,0.8166666666666667,0.784,60.0
Serbia,0.4142857142857143,0.48333333333333334,0.4461538461538462,60.0
Singapore,0.7246376811594203,0.8333333333333334,0.7751937984496124,60.0
Slovakia,0.24324324324324326,0.3,0.26865671641791045,60.0
Slovenia,0.38095238095238093,0.4,0.3902439024390244,60.0
SouthAfrica,0.509090909090909,0.4666666666666667,0.48695652173913045,60.0
SouthKorea,0.5915492957746479,0.7,0.6412213740458015,60.0
Spain,0.5454545454545454,0.2,0.2926829268292683,60.0
Sweden,0.3829787234042553,0.3,0.3364485981308411,60.0
Switzerland,0.6615384615384615,0.7166666666666667,0.688,60.0
Thailand,0.515625,0.55,0.532258064516129,60.0
Tunisia,0.7727272727272727,0.85,0.8095238095238095,60.0
Turkey,0.5185185185185185,0.4666666666666667,0.49122807017543857,60.0
USA,0.34831460674157305,0.5166666666666667,0.4161073825503356,60.0
Uganda,0.71875,0.7666666666666667,0.7419354838709677,60.0
Ukraine,0.46511627906976744,0.6666666666666666,0.547945205479452,60.0
UnitedArabEmirates,0.78,0.65,0.7090909090909091,60.0
UnitedKingdom,0.4838709677419355,0.5,0.4918032786885246,60.0
Uruguay,0.7636363636363637,0.7,0.7304347826086957,60.0
accuracy,0.5899195920768778,0.5899195920768778,0.5899195920768778,0.5899195920768778
macro avg,0.5910073666872562,0.5899047665745931,0.5839686560485137,5099.0
weighted avg,0.590975038060223,0.5899195920768778,0.5839602215470716,5099.0
