,precision,recall,f1-score,support
Albania,0.5466666666666666,0.6721311475409836,0.6029411764705882,61.0
Argentina,0.5121951219512195,0.3559322033898305,0.42,59.0
Australia,0.5373134328358209,0.6,0.5669291338582677,60.0
Austria,0.3333333333333333,0.25,0.2857142857142857,60.0
Bangladesh,0.7903225806451613,0.8305084745762712,0.8099173553719008,59.0
Belgium,0.4864864864864865,0.3,0.3711340206185567,60.0
Bhutan,0.6235294117647059,0.8833333333333333,0.7310344827586207,60.0
Bolivia,0.78,0.65,0.7090909090909091,60.0
Botswana,0.8,0.8666666666666667,0.832,60.0
Brazil,0.5098039215686274,0.43333333333333335,0.46846846846846846,60.0
Bulgaria,0.5087719298245614,0.48333333333333334,0.49572649572649574,60.0
Cambodia,0.5135135135135135,0.6333333333333333,0.5671641791044776,60.0
Canada,0.4375,0.35,0.3888888888888889,60.0
Chile,0.5192307692307693,0.45,0.48214285714285715,60.0
Colombia,0.45098039215686275,0.38333333333333336,0.4144144144144144,60.0
Croatia,0.30357142857142855,0.2833333333333333,0.29310344827586204,60.0
Denmark,0.29245283018867924,0.5166666666666667,0.37349397590361444,60.0
DominicanRepublic,0.6268656716417911,0.7,0.6614173228346457,60.0
Ecuador,0.5522388059701493,0.6166666666666667,0.5826771653543307,60.0
Estonia,0.4888888888888889,0.36666666666666664,0.41904761904761906,60.0
Eswatini,0.8333333333333334,0.8333333333333334,0.8333333333333334,60.0
Finland,0.5882352941176471,0.5,0.5405405405405406,60.0
France,0.3333333333333333,0.25,0.2857142857142857,60.0
Germany,0.3488372093023256,0.25,0.2912621359223301,60.0
Ghana,0.7833333333333333,0.7833333333333333,0.7833333333333333,60.0
Greece,0.5306122448979592,0.43333333333333335,0.47706422018348627,60.0
Guatemala,0.603448275862069,0.5833333333333334,0.5932203389830508,60.0
Hungary,0.4230769230769231,0.36666666666666664,0.39285714285714285,60.0
Iceland,0.8285714285714286,0.9666666666666667,0.8923076923076924,60.0
India,0.9433962264150944,0.8333333333333334,0.8849557522123894,60.0
Indonesia,0.32432432432432434,0.4,0.3582089552238806,60.0
Ireland,0.55,0.7333333333333333,0.6285714285714286,60.0
Israel,0.7755102040816326,0.6333333333333333,0.6972477064220184,60.0
Italy,0.34210526315789475,0.21666666666666667,0.2653061224489796,60.0
Japan,0.7540983606557377,0.7666666666666667,0.7603305785123967,60.0
Jordan,0.72,0.9,0.8,60.0
Kazakhstan,0.8260869565217391,0.6333333333333333,0.7169811320754716,60.0
Kenya,0.6744186046511628,0.48333333333333334,0.5631067961165048,60.0
Kyrgyzstan,0.6621621621621622,0.8166666666666667,0.7313432835820896,60.0
Laos,0.6388888888888888,0.7666666666666667,0.696969696969697,60.0
Latvia,0.3815789473684211,0.48333333333333334,0.4264705882352941,60.0
Lebanon,1.0,0.9833333333333333,0.9915966386554622,60.0
Lesotho,0.8548387096774194,0.8833333333333333,0.8688524590163934,60.0
Lithuania,0.5192307692307693,0.45,0.48214285714285715,60.0
Luxembourg,0.5064935064935064,0.65,0.5693430656934306,60.0
Madagascar,0.7246376811594203,0.8333333333333334,0.7751937984496124,60.0
Malaysia,0.6078431372549019,0.5166666666666667,0.5585585585585585,60.0
Malta,0.7105263157894737,0.9,0.7941176470588235,60.0
Mexico,0.4,0.23333333333333334,0.29473684210526313,60.0
Mongolia,0.8333333333333334,0.8333333333333334,0.8333333333333334,60.0
