,precision,recall,f1-score,support
Albania,0.5769230769230769,0.7377049180327869,0.6474820143884892,61.0
Argentina,0.3484848484848485,0.3898305084745763,0.368,59.0
Australia,0.5238095238095238,0.36666666666666664,0.43137254901960786,60.0
Austria,0.31666666666666665,0.31666666666666665,0.31666666666666665,60.0
Bangladesh,0.4636363636363636,0.864406779661017,0.6035502958579881,59.0
Belgium,0.23170731707317074,0.31666666666666665,0.2676056338028169,60.0
Bhutan,0.7424242424242424,0.8166666666666667,0.7777777777777778,60.0
Bolivia,0.7111111111111111,0.5333333333333333,0.6095238095238096,60.0
Botswana,0.7166666666666667,0.7166666666666667,0.7166666666666667,60.0
Brazil,0.4166666666666667,0.25,0.3125,60.0
Bulgaria,0.38095238095238093,0.4,0.3902439024390244,60.0
Cambodia,0.5833333333333334,0.35,0.4375,60.0
Canada,0.4177215189873418,0.55,0.4748201438848921,60.0
Chile,0.42105263157894735,0.26666666666666666,0.32653061224489793,60.0
Colombia,0.4090909090909091,0.3,0.34615384615384615,60.0
Croatia,0.25,0.11666666666666667,0.1590909090909091,60.0
Denmark,0.3695652173913043,0.2833333333333333,0.32075471698113206,60.0
DominicanRepublic,0.5769230769230769,0.5,0.5357142857142857,60.0
Ecuador,0.5957446808510638,0.4666666666666667,0.5233644859813084,60.0
Estonia,0.29508196721311475,0.3,0.2975206611570248,60.0
Eswatini,0.6666666666666666,0.7666666666666667,0.7131782945736435,60.0
Finland,0.4507042253521127,0.5333333333333333,0.48854961832061067,60.0
France,0.16666666666666666,0.23333333333333334,0.19444444444444445,60.0
Germany,0.20149253731343283,0.45,0.27835051546391754,60.0
Ghana,0.7636363636363637,0.7,0.7304347826086957,60.0
Greece,0.375,0.35,0.3620689655172414,60.0
Guatemala,0.5517241379310345,0.5333333333333333,0.5423728813559322,60.0
Hungary,0.313953488372093,0.45,0.3698630136986301,60.0
Iceland,0.8571428571428571,0.8,0.8275862068965517,60.0
India,0.9019607843137255,0.7666666666666667,0.8288288288288288,60.0
Indonesia,0.45454545454545453,0.3333333333333333,0.38461538461538464,60.0
Ireland,0.5416666666666666,0.65,0.5909090909090909,60.0
