,precision,recall,f1-score,support
Israel,0.6666666666666666,0.6,0.631578947368421,60.0
Italy,0.30303030303030304,0.16666666666666666,0.21505376344086022,60.0
Japan,0.5588235294117647,0.6333333333333333,0.59375,60.0
Jordan,0.7142857142857143,0.8333333333333334,0.7692307692307693,60.0
Kazakhstan,0.7843137254901961,0.6666666666666666,0.7207207207207207,60.0
Kenya,0.4925373134328358,0.55,0.5196850393700787,60.0
Kyrgyzstan,0.7580645161290323,0.7833333333333333,0.7704918032786885,60.0
Laos,0.75,0.65,0.6964285714285714,60.0
Latvia,0.38636363636363635,0.2833333333333333,0.3269230769230769,60.0
Lebanon,0.9230769230769231,1.0,0.96,60.0
Lesotho,0.6973684210526315,0.8833333333333333,0.7794117647058824,60.0
Lithuania,0.5106382978723404,0.4,0.4485981308411215,60.0
Luxembourg,0.7241379310344828,0.35,0.47191011235955055,60.0
Madagascar,0.6956521739130435,0.8,0.7441860465116279,60.0
Malaysia,0.5333333333333333,0.4,0.45714285714285713,60.0
Malta,0.6956521739130435,0.8,0.7441860465116279,60.0
Mexico,0.2916666666666667,0.35,0.3181818181818182,60.0
Mongolia,0.7619047619047619,0.8,0.7804878048780488,60.0
Montenegro,0.5370370370370371,0.48333333333333334,0.5087719298245614,60.0
Netherlands,0.4888888888888889,0.36666666666666664,0.41904761904761906,60.0
NewZealand,0.5,0.7166666666666667,0.589041095890411,60.0
Nigeria,0.7551020408163265,0.6166666666666667,0.6788990825688074,60.0
NorthMacedonia,0.5901639344262295,0.6,0.5950413223140496,60.0
Norway,0.3218390804597701,0.4666666666666667,0.38095238095238093,60.0
Oman,0.78125,0.8333333333333334,0.8064516129032258,60.0
Panama,0.5675675675675675,0.7,0.6268656716417911,60.0
Peru,0.43333333333333335,0.65,0.52,60.0
Philippines,0.46808510638297873,0.36666666666666664,0.411214953271028,60.0
Poland,0.21568627450980393,0.18333333333333332,0.1981981981981982,60.0
Portugal,0.3026315789473684,0.38333333333333336,0.3382352941176471,60.0
Qatar,0.9615384615384616,0.8333333333333334,0.8928571428571429,60.0
Romania,0.36363636363636365,0.2,0.25806451612903225,60.0
Russia,0.3442622950819672,0.35,0.34710743801652894,60.0
Rwanda,0.6712328767123288,0.8166666666666667,0.7368421052631579,60.0
Senegal,0.796875,0.85,0.8225806451612904,60.0
Serbia,0.3466666666666667,0.43333333333333335,0.3851851851851852,60.0
Singapore,0.7450980392156863,0.6333333333333333,0.6846846846846847,60.0
Slovakia,0.3,0.05,0.08571428571428572,60.0
Slovenia,0.2830188679245283,0.25,0.26548672566371684,60.0
SouthAfrica,0.42857142857142855,0.6,0.5,60.0
SouthKorea,0.6222222222222222,0.4666666666666667,0.5333333333333333,60.0
Spain,0.20930232558139536,0.15,0.17475728155339806,60.0
Sweden,0.26666666666666666,0.26666666666666666,0.26666666666666666,60.0
Switzerland,0.8181818181818182,0.6,0.6923076923076923,60.0
Thailand,0.36363636363636365,0.6,0.4528301886792453,60.0
Tunisia,0.5975609756097561,0.8166666666666667,0.6901408450704225,60.0
Turkey,0.3,0.35,0.3230769230769231,60.0
USA,0.3333333333333333,0.25,0.2857142857142857,60.0
Uganda,0.7758620689655172,0.75,0.7627118644067796,60.0
Ukraine,0.5454545454545454,0.5,0.5217391304347826,60.0
UnitedArabEmirates,0.7627118644067796,0.75,0.7563025210084033,60.0
UnitedKingdom,0.47058823529411764,0.26666666666666666,0.3404255319148936,60.0
Uruguay,0.6666666666666666,0.6,0.631578947368421,60.0
accuracy,0.5189252794665621,0.5189252794665621,0.5189252794665621,0.5189252794665621
macro avg,0.5267636478082843,0.5189248102686477,0.5129980632755038,5099.0
weighted avg,0.5268208287285845,0.5189252794665621,0.513035115595921,5099.0
