,precision,recall,f1-score,support
Latvia,0.45614035087719296,0.43333333333333335,0.4444444444444444,60.0
Lebanon,0.967741935483871,1.0,0.9836065573770492,60.0
Lesotho,0.7580645161290323,0.7833333333333333,0.7704918032786885,60.0
Lithuania,0.4225352112676056,0.5,0.4580152671755725,60.0
Luxembourg,0.527027027027027,0.65,0.582089552238806,60.0
Madagascar,0.7,0.9333333333333333,0.8,60.0
Malaysia,0.5660377358490566,0.5,0.5309734513274337,60.0
Malta,0.7580645161290323,0.7833333333333333,0.7704918032786885,60.0
Mexico,0.40476190476190477,0.2833333333333333,0.3333333333333333,60.0
Mongolia,0.847457627118644,0.8333333333333334,0.8403361344537815,60.0
Montenegro,0.6206896551724138,0.6,0.6101694915254238,60.0
Netherlands,0.42028985507246375,0.48333333333333334,0.4496124031007752,60.0
NewZealand,0.6923076923076923,0.6,0.6428571428571429,60.0
Nigeria,0.7291666666666666,0.5833333333333334,0.6481481481481481,60.0
NorthMacedonia,0.65,0.65,0.65,60.0
Norway,0.509090909090909,0.4666666666666667,0.48695652173913045,60.0
Oman,0.875,0.8166666666666667,0.8448275862068966,60.0
Panama,0.6578947368421053,0.8333333333333334,0.7352941176470589,60.0
Peru,0.5,0.5166666666666667,0.5081967213114754,60.0
Philippines,0.47692307692307695,0.5166666666666667,0.496,60.0
Poland,0.27586206896551724,0.26666666666666666,0.2711864406779661,60.0
Portugal,0.5,0.48333333333333334,0.4915254237288136,60.0
Qatar,0.890625,0.95,0.9193548387096774,60.0
Romania,0.3150684931506849,0.38333333333333336,0.3458646616541353,60.0
Russia,0.4117647058823529,0.23333333333333334,0.2978723404255319,60.0
Rwanda,0.7464788732394366,0.8833333333333333,0.8091603053435115,60.0
Senegal,0.8421052631578947,0.8,0.8205128205128205,60.0
Serbia,0.3880597014925373,0.43333333333333335,0.4094488188976378,60.0
Singapore,0.7246376811594203,0.8333333333333334,0.7751937984496124,60.0
Slovakia,0.25,0.16666666666666666,0.2,60.0
Slovenia,0.37037037037037035,0.3333333333333333,0.3508771929824561,60.0
SouthAfrica,0.5660377358490566,0.5,0.5309734513274337,60.0
SouthKorea,0.5625,0.6,0.5806451612903226,60.0
Spain,0.36363636363636365,0.26666666666666666,0.3076923076923077,60.0
Sweden,0.3939393939393939,0.43333333333333335,0.4126984126984127,60.0
Switzerland,0.7,0.7,0.7,60.0
Thailand,0.7575757575757576,0.4166666666666667,0.5376344086021505,60.0
Tunisia,0.6986301369863014,0.85,0.7669172932330827,60.0
Turkey,0.4027777777777778,0.48333333333333334,0.4393939393939394,60.0
USA,0.5294117647058824,0.3,0.3829787234042553,60.0
Uganda,0.6,0.9,0.72,60.0
Ukraine,0.45054945054945056,0.6833333333333333,0.543046357615894,60.0
UnitedArabEmirates,0.8163265306122449,0.6666666666666666,0.7339449541284404,60.0
UnitedKingdom,0.5217391304347826,0.4,0.4528301886792453,60.0
Uruguay,0.6964285714285714,0.65,0.6724137931034483,60.0
accuracy,0.5765836438517357,0.5765836438517357,0.5765836438517357,0.5765836438517357
macro avg,0.5728956425248399,0.5765059466409513,0.5681291753850329,5099.0
weighted avg,0.572879069219267,0.5765836438517357,0.5681590203261188,5099.0
