,precision,recall,f1-score,support
Albania,0.5319148936170213,0.819672131147541,0.6451612903225806,61.0
Argentina,0.45161290322580644,0.23728813559322035,0.3111111111111111,59.0
Australia,0.5774647887323944,0.6833333333333333,0.6259541984732825,60.0
Austria,0.30434782608695654,0.23333333333333334,0.2641509433962264,60.0
Bangladesh,0.7377049180327869,0.7627118644067796,0.75,59.0
Belgium,0.4186046511627907,0.3,0.34951456310679613,60.0
Bhutan,0.7846153846153846,0.85,0.816,60.0
Bolivia,0.7,0.7,0.7,60.0
Botswana,0.75,0.75,0.75,60.0
Brazil,0.4888888888888889,0.36666666666666664,0.41904761904761906,60.0
Bulgaria,0.46551724137931033,0.45,0.4576271186440678,60.0
Cambodia,0.6341463414634146,0.43333333333333335,0.5148514851485149,60.0
Canada,0.45588235294117646,0.5166666666666667,0.484375,60.0
Chile,0.6046511627906976,0.43333333333333335,0.5048543689320388,60.0
Colombia,0.5384615384615384,0.35,0.42424242424242425,60.0
Croatia,0.3,0.25,0.2727272727272727,60.0
Denmark,0.4230769230769231,0.36666666666666664,0.39285714285714285,60.0
DominicanRepublic,0.6538461538461539,0.85,0.7391304347826086,60.0
Ecuador,0.5333333333333333,0.5333333333333333,0.5333333333333333,60.0
Estonia,0.41333333333333333,0.5166666666666667,0.45925925925925926,60.0
Eswatini,0.6176470588235294,0.7,0.65625,60.0
Finland,0.46875,0.5,0.4838709677419355,60.0
France,0.3103448275862069,0.15,0.20224719101123595,60.0
Germany,0.3188405797101449,0.36666666666666664,0.34108527131782945,60.0
Ghana,0.8301886792452831,0.7333333333333333,0.7787610619469026,60.0
Greece,0.5471698113207547,0.48333333333333334,0.5132743362831859,60.0
Guatemala,0.5892857142857143,0.55,0.5689655172413793,60.0
Hungary,0.4166666666666667,0.4166666666666667,0.4166666666666667,60.0
Iceland,0.7567567567567568,0.9333333333333333,0.835820895522388,60.0
India,0.8596491228070176,0.8166666666666667,0.8376068376068376,60.0
Indonesia,0.4177215189873418,0.55,0.4748201438848921,60.0
Ireland,0.5443037974683544,0.7166666666666667,0.6187050359712231,60.0
Israel,0.5892857142857143,0.55,0.5689655172413793,60.0
Italy,0.3283582089552239,0.36666666666666664,0.3464566929133858,60.0
Japan,0.8269230769230769,0.7166666666666667,0.7678571428571429,60.0
Jordan,0.6266666666666667,0.7833333333333333,0.6962962962962963,60.0
Kazakhstan,0.7049180327868853,0.7166666666666667,0.7107438016528925,60.0
Kenya,0.5396825396825397,0.5666666666666667,0.5528455284552846,60.0
Kyrgyzstan,0.7162162162162162,0.8833333333333333,0.7910447761194029,60.0
Laos,0.6056338028169014,0.7166666666666667,0.6564885496183206,60.0
